,Brand,Model,Engine Capacity (CC),Transmission Type,Year,Features
609,Kia,Cerato Coupe,,Automatic,2010,"['ABS', 'Air Conditioning', 'Airbags', 'AM/FM Radio', 'Aux Audio In', 'Bluetooth System', 'Cruise Control', 'EBD', 'Fog Lights', 'Keyless Start', 'Navigation System', 'USB Charger']"
610,Volkswagen,Passat,1400 - 1500,Automatic,2022,"['ABS', 'Air Conditioning', 'Airbags', 'Alarm/Anti-Theft System', 'AM/FM Radio', 'Aux Audio In', 'Bluetooth System', 'Cruise Control', 'Fog Lights', 'Keyless Start', 'Leather Seats', 'Off-Road Tyres', 'Parking Sensors', 'Power Locks', 'Power Mirrors', 'Power Steering', 'Power Windows', 'Rear View Camera', 'Touch Screen', 'USB Charger']"
611,Hyundai,Verna,1600,Manual,2015,[]
612,Skoda,Octavia,1000 - 1300,Automatic,2009,[]
613,BMW,316,,Automatic,2013,"['ABS', 'Air Conditioning', 'Airbags', 'Alarm/Anti-Theft System', 'AM/FM Radio', 'Aux Audio In', 'Cruise Control', 'EBD', 'Fog Lights', 'Keyless Start', 'Leather Seats']"
614,Fiat,Tipo,,Automatic,2022,[]
615,Fiat,127,1000 - 1300,Manual,1987,[]
616,DFSK,Eagle 580,1400 - 1500,Automatic,2019,[]
617,Mercedes-Benz,S500,More than 3000,Automatic,2021,[]
618,Hyundai,Tucson,,Automatic,2019,[]
619,Kia,Cerato,1600,Automatic,2013,[]
620,Mercedes-Benz,GLC 250,1800 - 2000,Automatic,2023,[]
621,Hyundai,Coupe,1600,Manual,2005,"['ABS', 'Air Conditioning', 'Airbags', 'Alarm/Anti-Theft System', 'AM/FM Radio', 'Aux Audio In', 'Bluetooth System', 'Cruise Control', 'EBD', 'Fog Lights', 'Keyless Start', 'Leather Seats', 'Navigation System', 'Off-Road Tyres', 'Parking Sensors', 'Power Locks', 'Power Mirrors', 'Power Seats', 'Power Steering', 'Power Windows', 'Premium Wheels/Rims', 'Rear View Camera', 'Roof Rack', 'Sunroof', 'Touch Screen', 'USB Charger']"
622,Toyota,Land Cruiser,More than 3000,Automatic,2021,[]
623,Chevrolet,Pickup/Dababa,2200 - 2800,Manual,2021,"['ABS', 'Air Conditioning', 'Alarm/Anti-Theft System', 'AM/FM Radio', 'Aux Audio In', 'Bluetooth System', 'Cruise Control', 'EBD', 'Fog Lights', 'Keyless Start', 'Leather Seats', 'Navigation System', 'Off-Road Tyres', 'Parking Sensors', 'Power Locks', 'Power Mirrors', 'Power Seats', 'Power Steering', 'Power Windows', 'Premium Wheels/Rims', 'Rear View Camera', 'Roof Rack', 'Sunroof', 'Touch Screen', 'USB Charger']"
624,Nissan,Sunny,1400 - 1500,Automatic,2020,[]
625,Ford,Fiesta,,Automatic,2012,[]
626,Mercedes-Benz,E200,1800 - 2000,Automatic,2022,"['ABS', 'Air Conditioning', 'Airbags', 'AM/FM Radio', 'Aux Audio In', 'Bluetooth System', 'Cruise Control', 'EBD', 'Keyless Start', 'Leather Seats', 'Navigation System', 'Parking Sensors', 'Power Locks', 'Power Mirrors', 'Power Steering', 'Power Windows', 'Rear View Camera', 'Roof Rack', 'Sunroof', 'Touch Screen', 'USB Charger']"
627,Land Rover,Range Rover Sport,1800 - 2000,Automatic,2020,"['ABS', 'Air Conditioning', 'Airbags', 'Alarm/Anti-Theft System', 'AM/FM Radio', 'Aux Audio In', 'Bluetooth System', 'Cruise Control', 'EBD', 'Fog Lights', 'Keyless Start', 'Leather Seats', 'Navigation System', 'Off-Road Tyres', 'Parking Sensors', 'Power Locks', 'Power Mirrors', 'Power Seats', 'Power Steering', 'Power Windows', 'Premium Wheels/Rims', 'Rear View Camera', 'Roof Rack', 'Sunroof', 'Touch Screen', 'USB Charger']"
628,Peugeot,3008,1600,Automatic,2019,"['ABS', 'Air Conditioning', 'Airbags', 'Alarm/Anti-Theft System', 'AM/FM Radio', 'Aux Audio In', 'Bluetooth System', 'Cruise Control', 'EBD', 'Fog Lights', 'Keyless Start', 'Leather Seats', 'Navigation System', 'Off-Road Tyres', 'Parking Sensors', 'Power Locks', 'Power Mirrors', 'Power Seats', 'Power Steering', 'Power Windows', 'Premium Wheels/Rims', 'Rear View Camera', 'Sunroof', 'Touch Screen']"
629,Nissan,Qashqai,1000 - 1300,Automatic,2022,[]
630,Audi,A3,1400 - 1500,Automatic,2017,[]
631,Toyota,Corolla,1600,Automatic,2020,"['ABS', 'Air Conditioning', 'Airbags', 'Alarm/Anti-Theft System', 'AM/FM Radio', 'Aux Audio In', 'Bluetooth System', 'EBD', 'Fog Lights', 'Power Locks', 'Power Mirrors', 'Power Seats', 'Power Steering', 'Power Windows', 'Touch Screen', 'USB Charger']"
632,Kia,Cerato,1600,Automatic,2022,"['Bluetooth System', 'Cruise Control', 'Keyless Start', 'Parking Sensors', 'Power Locks', 'Power Mirrors', 'Power Windows', 'Rear View Camera', 'Sunroof', 'Touch Screen', 'USB Charger']"
633,Renault,Laguna,1400 - 1500,Automatic,2019,"['ABS', 'Air Conditioning', 'Airbags', 'Alarm/Anti-Theft System', 'AM/FM Radio', 'Aux Audio In', 'Bluetooth System', 'Power Locks', 'Power Mirrors', 'Power Seats', 'Power Steering', 'Power Windows', 'USB Charger']"
634,BYD,L3,1400 - 1500,Automatic,2015,[]
635,Toyota,Corolla,1600,Automatic,2022,"['Air Conditioning', 'AM/FM Radio', 'Bluetooth System', 'EBD', 'Off-Road Tyres', 'Parking Sensors', 'Power Locks', 'Power Windows', 'Premium Wheels/Rims', 'USB Charger']"
636,Opel,Astra,1600,Manual,2007,"['Air Conditioning', 'Power Locks', 'Power Steering', 'Power Windows']"
637,Mercedes-Benz,Maybach,More than 3000,Automatic,2015,"['ABS', 'Air Conditioning', 'Airbags', 'Alarm/Anti-Theft System', 'AM/FM Radio', 'Aux Audio In', 'Bluetooth System', 'Cruise Control', 'EBD', 'Fog Lights', 'Keyless Start', 'Leather Seats', 'Navigation System', 'Parking Sensors', 'Power Locks', 'Power Mirrors', 'Power Seats', 'Power Steering', 'Power Windows', 'Rear View Camera', 'Roof Rack', 'Sunroof', 'Touch Screen', 'USB Charger']"
638,Jaguar,F-type,1800 - 2000,Automatic,2015,"['ABS', 'Air Conditioning', 'Airbags', 'Alarm/Anti-Theft System', 'AM/FM Radio', 'Aux Audio In', 'Bluetooth System', 'Cruise Control', 'EBD', 'Fog Lights', 'Keyless Start', 'Leather Seats', 'Navigation System', 'Parking Sensors', 'Power Locks', 'Power Mirrors', 'Power Seats', 'Power Steering', 'Power Windows', 'Rear View Camera', 'Roof Rack', 'Sunroof', 'Touch Screen', 'USB Charger']"
639,Porsche,Cayenne,1600,Automatic,2012,"['ABS', 'Air Conditioning', 'Airbags', 'Alarm/Anti-Theft System', 'AM/FM Radio', 'Aux Audio In', 'Bluetooth System', 'Cruise Control', 'EBD', 'Fog Lights', 'Keyless Start', 'Leather Seats', 'Navigation System', 'Parking Sensors', 'Power Locks', 'Power Mirrors', 'Power Seats', 'Power Steering', 'Power Windows', 'Rear View Camera', 'Roof Rack', 'Sunroof', 'Touch Screen', 'USB Charger']"
640,Mercedes-Benz,S500,2200 - 2800,Automatic,2014,"['ABS', 'Air Conditioning', 'Airbags', 'Alarm/Anti-Theft System', 'AM/FM Radio', 'Aux Audio In', 'Bluetooth System', 'Cruise Control', 'EBD', 'Fog Lights', 'Keyless Start', 'Leather Seats', 'Navigation System', 'Parking Sensors', 'Power Locks', 'Power Mirrors', 'Power Seats', 'Power Steering', 'Power Windows', 'Rear View Camera', 'Roof Rack', 'Sunroof', 'Touch Screen', 'USB Charger']"
641,Chevrolet,Cruze,1600,Automatic,2016,"['ABS', 'Air Conditioning', 'Airbags', 'Alarm/Anti-Theft System', 'AM/FM Radio', 'Aux Audio In', 'Bluetooth System', 'EBD', 'Fog Lights', 'Leather Seats', 'Parking Sensors', 'Power Locks', 'Power Mirrors', 'Power Steering', 'Power Windows', 'Premium Wheels/Rims', 'USB Charger']"
642,Nissan,Sunny,1400 - 1500,Automatic,2023,"['ABS', 'Air Conditioning', 'Airbags', 'Alarm/Anti-Theft System', 'AM/FM Radio', 'Aux Audio In', 'EBD', 'Fog Lights', 'Power Locks', 'Power Mirrors', 'Power Steering', 'Power Windows', 'Premium Wheels/Rims', 'Rear View Camera', 'Touch Screen', 'USB Charger']"
643,Toyota,Corolla,1600,Automatic,2021,[]
644,Jaguar,F-Pace,1800 - 2000,Automatic,2019,[]
645,Mercedes-Benz,E240,1800 - 2000,Automatic,2001,[]
646,Renault,Fluence,1600,Automatic,2011,[]
647,Mitsubishi,Lancer,1600,Automatic,2007,[]
648,Subaru,Impreza,1800 - 2000,Automatic,2010,[]
649,Mercedes-Benz,GLS,More than 3000,Automatic,2023,"['ABS', 'Air Conditioning', 'Airbags', 'Alarm/Anti-Theft System', 'AM/FM Radio', 'Aux Audio In', 'Bluetooth System', 'Cruise Control', 'EBD', 'Keyless Start', 'Leather Seats', 'Navigation System', 'Parking Sensors', 'Power Locks', 'Power Mirrors', 'Power Seats', 'Power Steering', 'Power Windows', 'Premium Wheels/Rims', 'Rear View Camera', 'Sunroof', 'Touch Screen', 'USB Charger']"
650,Mercedes-Benz,GL-Class,More than 3000,Automatic,2013,[]
651,Hyundai,Accent,1600,Automatic,2008,"['Air Conditioning', 'Alarm/Anti-Theft System', 'AM/FM Radio', 'Aux Audio In', 'Bluetooth System', 'EBD', 'Fog Lights', 'Leather Seats', 'Power Locks', 'Power Mirrors', 'Power Seats', 'Power Steering', 'Power Windows', 'Rear View Camera', 'Touch Screen', 'USB Charger']"
652,Porsche,Carrera,More than 3000,Automatic,2008,[]
653,Porsche,Cayman,More than 3000,Automatic,2014,[]
654,Porsche,Boxster,More than 3000,Automatic,2016,[]
655,Ford,Mustang,More than 3000,Automatic,2017,[]
656,Mitsubishi,Lancer,1000 - 1300,Manual,2000,"['Air Conditioning', 'Alarm/Anti-Theft System', 'AM/FM Radio', 'Leather Seats', 'Power Locks', 'Power Mirrors', 'Power Steering', 'Power Windows']"
657,BMW,525,2200 - 2800,Automatic,1990,"['ABS', 'Air Conditioning', 'Airbags', 'Alarm/Anti-Theft System', 'AM/FM Radio', 'Aux Audio In', 'Bluetooth System', 'EBD', 'Fog Lights', 'Leather Seats', 'Navigation System', 'Off-Road Tyres', 'Power Locks', 'Power Mirrors', 'Power Steering', 'Power Windows', 'Premium Wheels/Rims', 'Roof Rack', 'Sunroof', 'USB Charger']"
658,Chevrolet,Cruze,1600,Automatic,2016,"['ABS', 'Air Conditioning', 'Airbags', 'AM/FM Radio', 'Aux Audio In', 'Bluetooth System', 'Fog Lights']"
659,Volkswagen,Passat,1400 - 1500,Automatic,2017,"['ABS', 'Air Conditioning', 'Airbags', 'AM/FM Radio', 'Aux Audio In', 'Bluetooth System', 'Cruise Control', 'Fog Lights', 'Keyless Start', 'Navigation System', 'Off-Road Tyres', 'Parking Sensors', 'Power Locks', 'Power Steering', 'Power Windows', 'Premium Wheels/Rims', 'Rear View Camera', 'Touch Screen', 'USB Charger']"
660,Kia,Cerato,1600,Automatic,2011,"['ABS', 'Air Conditioning', 'Airbags', 'AM/FM Radio', 'Aux Audio In', 'Fog Lights', 'Keyless Start', 'Leather Seats', 'Parking Sensors', 'Power Steering', 'Sunroof', 'USB Charger']"
661,Mercedes-Benz,S320,More than 3000,Automatic,2002,[]
662,Fiat,Tipo,1600,Automatic,2019,"['ABS', 'Air Conditioning', 'AM/FM Radio', 'Aux Audio In', 'Bluetooth System', 'Cruise Control', 'Fog Lights', 'Parking Sensors', 'Power Locks', 'Power Mirrors', 'Power Windows', 'Rear View Camera', 'Touch Screen', 'USB Charger']"
663,Daewoo,Nubira,1600,Manual,2004,"['Air Conditioning', 'AM/FM Radio', 'Fog Lights', 'Power Locks', 'Power Windows']"
664,MG,ZS,1400 - 1500,Automatic,2020,[]
665,Land Rover,Velar,1800 - 2000,Automatic,2022,"['ABS', 'Air Conditioning', 'Airbags', 'Alarm/Anti-Theft System', 'AM/FM Radio', 'Aux Audio In', 'Bluetooth System', 'Cruise Control', 'EBD', 'Fog Lights', 'Keyless Start', 'Leather Seats', 'Navigation System', 'Off-Road Tyres', 'Parking Sensors', 'Power Locks', 'Power Mirrors', 'Power Seats', 'Power Steering', 'Power Windows', 'Premium Wheels/Rims', 'Rear View Camera', 'Sunroof', 'Touch Screen', 'USB Charger']"
666,Mercedes-Benz,GLC 250,1800 - 2000,Automatic,2020,"['ABS', 'Air Conditioning', 'Airbags', 'Alarm/Anti-Theft System', 'AM/FM Radio', 'Aux Audio In', 'Bluetooth System', 'Cruise Control', 'EBD', 'Fog Lights', 'Keyless Start', 'Leather Seats', 'Navigation System', 'Parking Sensors', 'Power Locks', 'Power Mirrors', 'Power Seats', 'Power Steering', 'Power Windows', 'Premium Wheels/Rims', 'Rear View Camera', 'Roof Rack', 'Sunroof', 'Touch Screen', 'USB Charger']"
667,Ford,Focus,1400 - 1500,Automatic,2013,"['ABS', 'Air Conditioning', 'Airbags', 'AM/FM Radio', 'Aux Audio In', 'Bluetooth System', 'Cruise Control', 'EBD', 'Fog Lights', 'Leather Seats', 'Parking Sensors', 'Power Locks', 'Power Mirrors', 'Power Steering', 'Power Windows', 'Premium Wheels/Rims', 'Sunroof', 'USB Charger']"
668,Suzuki,Van,1000 - 1300,Manual,2017,['AM/FM Radio']
669,BMW,528,1800 - 2000,Automatic,2016,[]
670,Mercedes-Benz,E200,1800 - 2000,Automatic,2021,"['ABS', 'Air Conditioning', 'Airbags', 'Alarm/Anti-Theft System', 'AM/FM Radio', 'Aux Audio In', 'Bluetooth System', 'Cruise Control', 'EBD', 'Fog Lights', 'Keyless Start', 'Leather Seats', 'Navigation System', 'Off-Road Tyres', 'Parking Sensors', 'Power Locks', 'Power Mirrors', 'Power Seats', 'Power Steering', 'Power Windows', 'Premium Wheels/Rims', 'Rear View Camera', 'Roof Rack', 'Sunroof', 'Touch Screen', 'USB Charger']"
671,Nissan,Sunny,1600,Automatic,2019,"['ABS', 'Air Conditioning', 'Airbags', 'AM/FM Radio', 'Aux Audio In', 'Bluetooth System', 'Fog Lights', 'Parking Sensors', 'Power Locks', 'Power Mirrors', 'Power Steering', 'Power Windows', 'Rear View Camera', 'Touch Screen', 'USB Charger']"
672,Subaru,Legacy,1800 - 2000,Automatic,2010,"['ABS', 'Air Conditioning', 'Airbags', 'Alarm/Anti-Theft System', 'AM/FM Radio', 'Bluetooth System', 'Cruise Control', 'EBD', 'Leather Seats', 'Navigation System', 'Parking Sensors', 'Power Locks', 'Power Mirrors', 'Power Seats', 'Power Steering', 'Power Windows', 'Premium Wheels/Rims', 'Rear View Camera', 'Sunroof', 'Touch Screen', 'USB Charger']"
673,Mercedes-Benz,C180,1400 - 1500,Automatic,2023,"['ABS', 'Air Conditioning', 'Airbags', 'Alarm/Anti-Theft System', 'AM/FM Radio', 'Aux Audio In', 'Bluetooth System', 'Cruise Control', 'EBD', 'Fog Lights', 'Keyless Start', 'Leather Seats', 'Navigation System', 'Off-Road Tyres', 'Parking Sensors', 'Power Locks', 'Power Mirrors', 'Power Seats', 'Power Steering', 'Power Windows', 'Premium Wheels/Rims', 'Rear View Camera', 'Roof Rack', 'Sunroof', 'Touch Screen', 'USB Charger']"
674,MG,MG 5,,Automatic,2022,[]
675,Kia,Cerato,1600,Automatic,2018,"['ABS', 'Air Conditioning', 'Alarm/Anti-Theft System', 'AM/FM Radio', 'Aux Audio In', 'Bluetooth System', 'Cruise Control', 'EBD', 'Fog Lights', 'Parking Sensors', 'Power Locks', 'Power Steering', 'Power Windows', 'Sunroof', 'USB Charger']"
676,BMW,X6,More than 3000,Automatic,2010,"['ABS', 'Air Conditioning', 'Airbags', 'Alarm/Anti-Theft System', 'AM/FM Radio', 'Aux Audio In', 'Bluetooth System', 'Cruise Control', 'EBD', 'Fog Lights', 'Keyless Start', 'Leather Seats', 'Navigation System', 'Off-Road Tyres', 'Parking Sensors', 'Power Locks', 'Power Mirrors', 'Power Seats', 'Power Steering', 'Power Windows', 'Premium Wheels/Rims', 'Rear View Camera', 'Roof Rack', 'Sunroof', 'USB Charger']"
677,Classic,Classic,1600,Automatic,2021,"['ABS', 'Air Conditioning', 'Airbags', 'Alarm/Anti-Theft System', 'AM/FM Radio', 'Aux Audio In', 'Bluetooth System', 'Cruise Control', 'Fog Lights', 'Keyless Start', 'Leather Seats', 'Navigation System', 'Parking Sensors', 'Power Locks', 'Power Mirrors', 'Power Seats', 'Power Windows', 'Rear View Camera', 'Sunroof', 'Touch Screen', 'USB Charger']"
678,Mercedes-Benz,G-Class,More than 3000,Automatic,2018,[]
679,Speranza,Tiggo,1400 - 1500,Automatic,2021,[]
680,Mercedes-Benz,E180,1600,Automatic,2019,"['ABS', 'Air Conditioning', 'Airbags', 'Alarm/Anti-Theft System', 'AM/FM Radio', 'Aux Audio In', 'Bluetooth System', 'Cruise Control', 'EBD', 'Fog Lights', 'Keyless Start', 'Leather Seats', 'Navigation System', 'Off-Road Tyres', 'Parking Sensors', 'Power Locks', 'Power Mirrors', 'Power Seats', 'Power Steering', 'Power Windows', 'Premium Wheels/Rims', 'Rear View Camera', 'USB Charger']"
681,BYD,L3,1400 - 1500,Manual,2016,"['ABS', 'Air Conditioning', 'Airbags', 'Alarm/Anti-Theft System', 'AM/FM Radio', 'Aux Audio In', 'Fog Lights', 'Keyless Start', 'Leather Seats', 'Navigation System', 'Parking Sensors', 'Power Locks', 'Power Mirrors', 'Power Steering', 'Power Windows', 'Rear View Camera', 'Roof Rack', 'Sunroof', 'Touch Screen', 'USB Charger']"
682,Mercedes-Benz,E200,1800 - 2000,Automatic,2018,"['ABS', 'Air Conditioning', 'Airbags', 'Alarm/Anti-Theft System', 'AM/FM Radio', 'Aux Audio In', 'Bluetooth System', 'Cruise Control', 'EBD', 'Fog Lights', 'Keyless Start', 'Leather Seats', 'Navigation System', 'Off-Road Tyres', 'Parking Sensors', 'Power Locks', 'Power Mirrors', 'Power Seats', 'Power Steering', 'Power Windows', 'Premium Wheels/Rims', 'Rear View Camera', 'Roof Rack', 'Sunroof', 'Touch Screen', 'USB Charger']"
683,Jaguar,E-Pace,1800 - 2000,Automatic,2018,[]
684,Skoda,Octavia,1600,Automatic,2015,"['ABS', 'Air Conditioning', 'Airbags', 'Alarm/Anti-Theft System', 'AM/FM Radio', 'Aux Audio In', 'Bluetooth System', 'Cruise Control', 'Fog Lights', 'Power Locks', 'Power Mirrors', 'Power Steering', 'Power Windows', 'Premium Wheels/Rims', 'USB Charger']"
685,Kia,Sportage,1600,Automatic,2020,"['ABS', 'Air Conditioning', 'Airbags', 'Alarm/Anti-Theft System', 'AM/FM Radio', 'Aux Audio In', 'Bluetooth System', 'Cruise Control', 'Keyless Start', 'Leather Seats', 'Parking Sensors', 'Power Locks', 'Power Mirrors', 'Power Windows', 'Rear View Camera', 'Roof Rack', 'Sunroof', 'Touch Screen', 'USB Charger']"
686,Speranza,Envy,1400 - 1500,Manual,2018,"['Air Conditioning', 'Airbags', 'Bluetooth System', 'Power Mirrors', 'Power Windows']"
687,Seat,Ibiza,1600,Automatic,2019,[]
688,Fiat,Siena,1400 - 1500,Manual,2000,"['Air Conditioning', 'AM/FM Radio', 'Aux Audio In', 'Power Locks', 'Power Mirrors', 'Power Steering', 'Power Windows']"
689,Peugeot,3008,,Automatic,2019,[]
690,Ssang Yong,Tivoli XLV,1600,Automatic,2020,[]
691,Hyundai,Accent,1400 - 1500,Automatic,2017,[]
692,Renault,Logan,1600,Manual,2016,[]
693,Nissan,Sunny,1400 - 1500,Automatic,2021,[]
694,Chevrolet,Cruze,1600,Automatic,2016,"['ABS', 'Air Conditioning', 'Airbags', 'Alarm/Anti-Theft System', 'AM/FM Radio', 'Aux Audio In', 'Bluetooth System', 'EBD', 'Fog Lights', 'Leather Seats', 'Navigation System', 'Parking Sensors', 'Power Locks', 'Power Mirrors', 'Power Steering', 'Power Windows', 'Premium Wheels/Rims', 'Rear View Camera', 'Touch Screen', 'USB Charger']"
695,BMW,340,More than 3000,Automatic,2018,[]
696,Suzuki,Maruti,0 - 800,Manual,1996,[]
697,Kia,Rio,1400 - 1500,Automatic,2015,[]
698,Other make,Other,1600,Automatic,2019,[]
699,Kia,Cerato,1600,Automatic,2018,[]
700,Baic,X3,1400 - 1500,Automatic,2022,"['ABS', 'Air Conditioning', 'Airbags', 'Alarm/Anti-Theft System', 'AM/FM Radio', 'Aux Audio In', 'Bluetooth System', 'Cruise Control', 'EBD', 'Fog Lights', 'Leather Seats', 'Off-Road Tyres', 'Parking Sensors', 'Power Locks', 'Power Mirrors', 'Power Seats', 'Power Steering', 'Power Windows', 'Premium Wheels/Rims', 'Touch Screen', 'USB Charger']"
701,Skoda,Felecia,1000 - 1300,Manual,1995,"['Alarm/Anti-Theft System', 'AM/FM Radio', 'Aux Audio In', 'Fog Lights', 'Leather Seats', 'Power Locks', 'Power Steering', 'Premium Wheels/Rims']"
702,Jeep,Cherokee,More than 3000,Automatic,2012,[]
703,Mercedes-Benz,Other,1600,Automatic,2015,[]
704,BYD,F3,1600,Automatic,2020,[]
705,BYD,L3,1600,Automatic,2016,[]
706,Mercedes-Benz,E300,1800 - 2000,Automatic,2021,[]
707,Jeep,Renegade,1400 - 1500,Automatic,2016,"['ABS', 'Air Conditioning', 'Airbags', 'Alarm/Anti-Theft System', 'AM/FM Radio', 'Aux Audio In', 'Bluetooth System', 'Cruise Control', 'EBD', 'Fog Lights', 'Keyless Start', 'Leather Seats', 'Navigation System', 'Off-Road Tyres', 'Parking Sensors', 'Power Locks', 'Power Mirrors', 'Power Seats', 'Power Steering', 'Power Windows', 'Premium Wheels/Rims', 'Rear View Camera', 'Roof Rack', 'Sunroof', 'Touch Screen', 'USB Charger']"
708,Daewoo,Nubira,1400 - 1500,Manual,2007,"['Air Conditioning', 'AM/FM Radio', 'Leather Seats', 'Off-Road Tyres', 'Power Locks', 'Power Mirrors']"
709,Porsche,Boxster,2200 - 2800,Automatic,2019,[]
710,Opel,Grandland,1600,Automatic,2018,"['ABS', 'Air Conditioning', 'Airbags', 'Bluetooth System', 'Cruise Control', 'EBD', 'Keyless Start', 'Leather Seats', 'Parking Sensors', 'Power Steering', 'Premium Wheels/Rims', 'Sunroof', 'Touch Screen']"
711,Hyundai,Accent,1600,Automatic,2010,"['Air Conditioning', 'Alarm/Anti-Theft System', 'AM/FM Radio', 'Aux Audio In', 'Bluetooth System', 'Fog Lights', 'Leather Seats', 'Power Locks', 'Power Steering', 'Power Windows', 'USB Charger']"
712,BMW,318,1400 - 1500,Automatic,2017,"['ABS', 'Air Conditioning', 'Airbags', 'Alarm/Anti-Theft System', 'AM/FM Radio', 'Aux Audio In', 'Bluetooth System', 'Cruise Control', 'EBD', 'Fog Lights', 'Keyless Start', 'Leather Seats', 'Navigation System', 'Off-Road Tyres', 'Parking Sensors', 'Power Locks', 'Power Mirrors', 'Power Seats', 'Power Steering', 'Power Windows', 'Premium Wheels/Rims', 'Rear View Camera', 'Touch Screen', 'USB Charger']"
713,Jeep,Grand Cherokee,More than 3000,Automatic,2022,[]
714,Fiat,Siena,1600,Manual,2002,"['Air Conditioning', 'AM/FM Radio', 'Aux Audio In', 'Leather Seats', 'Power Mirrors', 'Power Windows']"
715,Mercedes-Benz,E200,1800 - 2000,Automatic,2002,[]
716,Hyundai,Elantra,1600,Automatic,2013,[]
717,Land Rover,Evoque,More than 3000,Automatic,2023,[]
718,Lada,Other,1600,Manual,2008,[]
719,Volkswagen,Golf,1400 - 1500,Manual,1991,[]
720,Bentley,Flying Spur,More than 3000,Automatic,2021,[]
721,Volkswagen,Golf,1800 - 2000,Automatic,2010,[]
722,Speranza,A516,1600,Manual,2007,"['ABS', 'Air Conditioning', 'Alarm/Anti-Theft System', 'Power Locks', 'Power Mirrors', 'Power Steering', 'Power Windows', 'Premium Wheels/Rims']"
723,BMW,320,1600,Automatic,2023,[]
724,Suzuki,Pick up,1000 - 1300,Manual,2022,[]
725,Renault,Megane,1000 - 1300,Automatic,2018,"['ABS', 'Airbags', 'Alarm/Anti-Theft System', 'AM/FM Radio', 'Aux Audio In', 'Bluetooth System', 'Cruise Control', 'EBD', 'Fog Lights', 'Keyless Start', 'Leather Seats', 'Navigation System', 'Off-Road Tyres', 'Parking Sensors', 'Power Locks', 'Power Mirrors', 'Power Steering', 'Power Windows', 'Premium Wheels/Rims', 'Rear View Camera', 'Roof Rack', 'Sunroof', 'Touch Screen', 'USB Charger']"
726,Subaru,Impreza,1600,Automatic,2009,[]
727,Daihatsu,Terios,1600,Automatic,2007,"['ABS', 'Air Conditioning', 'Airbags', 'AM/FM Radio', 'Aux Audio In', 'Bluetooth System', 'Leather Seats', 'Power Locks', 'Power Mirrors', 'Power Windows', 'Premium Wheels/Rims', 'USB Charger']"
728,Nissan,Sunny,1600,Automatic,2009,"['ABS', 'Air Conditioning', 'Airbags', 'AM/FM Radio', 'Bluetooth System', 'EBD', 'Fog Lights', 'Power Steering', 'Premium Wheels/Rims', 'Touch Screen', 'USB Charger']"
729,Skoda,Fabia,1000 - 1300,Automatic,2023,[]
730,Hyundai,Elantra,,Automatic,2016,"['Air Conditioning', 'AM/FM Radio', 'Aux Audio In', 'Bluetooth System', 'EBD', 'Fog Lights', 'Leather Seats', 'Navigation System', 'Parking Sensors', 'Power Mirrors', 'Power Windows', 'Rear View Camera', 'Touch Screen', 'USB Charger']"
731,Hyundai,Santa Fe,More than 3000,Automatic,2013,[]
732,Jeep,Renegade,1400 - 1500,Automatic,2017,"['ABS', 'Airbags', 'Bluetooth System', 'Cruise Control', 'EBD', 'Keyless Start', 'Off-Road Tyres', 'Parking Sensors', 'Power Mirrors', 'Touch Screen']"
733,Jeep,Wrangler,More than 3000,Automatic,2012,"['ABS', 'Air Conditioning', 'Alarm/Anti-Theft System', 'Cruise Control', 'EBD', 'Navigation System', 'Off-Road Tyres', 'Parking Sensors', 'Power Seats', 'Power Steering', 'Premium Wheels/Rims', 'Rear View Camera', 'Roof Rack', 'Touch Screen']"
734,Hyundai,Elantra,1600,Automatic,2018,[]
735,BYD,F3,1400 - 1500,Manual,2018,"['ABS', 'Air Conditioning', 'Airbags', 'Alarm/Anti-Theft System', 'AM/FM Radio', 'Fog Lights', 'Keyless Start', 'Leather Seats', 'Power Locks', 'Power Mirrors', 'Power Windows']"
736,Kia,Cerato,1600,Automatic,2016,"['ABS', 'Air Conditioning', 'Airbags', 'Alarm/Anti-Theft System', 'AM/FM Radio', 'Aux Audio In', 'Bluetooth System', 'Cruise Control', 'Fog Lights', 'Leather Seats', 'Navigation System', 'Off-Road Tyres', 'Parking Sensors', 'Power Locks', 'Power Mirrors', 'Power Seats', 'Power Steering', 'Power Windows', 'Premium Wheels/Rims', 'Rear View Camera', 'Roof Rack', 'Sunroof', 'Touch Screen', 'USB Charger']"
737,Mitsubishi,Lancer,1600,Automatic,2015,"['ABS', 'Air Conditioning', 'Airbags', 'AM/FM Radio', 'Aux Audio In', 'Bluetooth System', 'Cruise Control', 'EBD', 'Fog Lights', 'Off-Road Tyres', 'Parking Sensors', 'Power Mirrors', 'Power Windows', 'Rear View Camera', 'Sunroof', 'Touch Screen', 'USB Charger']"
738,Mercedes-Benz,GLS,More than 3000,Automatic,2023,"['ABS', 'Air Conditioning', 'Airbags', 'Alarm/Anti-Theft System', 'Aux Audio In', 'Bluetooth System', 'Cruise Control', 'EBD', 'Fog Lights', 'Keyless Start', 'Leather Seats', 'Navigation System', 'Off-Road Tyres', 'Parking Sensors', 'Power Locks', 'Power Mirrors', 'Power Seats', 'Power Steering', 'Power Windows', 'Premium Wheels/Rims', 'Rear View Camera', 'Roof Rack', 'Sunroof', 'Touch Screen', 'USB Charger']"
739,Renault,Duster,1600,Automatic,2019,[]
